r,T
0, 26.0001
0.000977517, 26.0001
0.00195503, 26
0.00293255, 25.9999
0.00391007, 25.9997
0.00488759, 25.9995
0.0058651, 25.9992
0.00684262, 25.9989
0.00782014, 25.9985
0.00879765, 25.9981
0.00977517, 25.9977
0.0107527, 25.9972
0.0117302, 25.9966
0.0127077, 25.996
0.0136852, 25.9954
0.0146628, 25.9947
0.0156403, 25.9939
0.0166178, 25.9931
0.0175953, 25.9923
0.0185728, 25.9914
0.0195503, 25.9905
0.0205279, 25.9895
0.0215054, 25.9885
0.0224829, 25.9874
0.0234604, 25.9863
0.0244379, 25.9851
0.0254154, 25.9839
0.026393, 25.9826
0.0273705, 25.9813
0.028348, 25.98
0.0293255, 25.9785
0.030303, 25.9771
0.0312805, 25.9756
0.0322581, 25.974
0.0332356, 25.9724
0.0342131, 25.9708
0.0351906, 25.9691
0.0361681, 25.9673
0.0371457, 25.9655
0.0381232, 25.9637
0.0391007, 25.9618
0.0400782, 25.9599
0.0410557, 25.9579
0.0420332, 25.9559
0.0430108, 25.9538
0.0439883, 25.9517
0.0449658, 25.9495
0.0459433, 25.9473
0.0469208, 25.945
0.0478983, 25.9427
0.0488759, 25.9403
0.0498534, 25.9379
0.0508309, 25.9354
0.0518084, 25.9329
0.0527859, 25.9304
0.0537634, 25.9278
0.054741, 25.9251
0.0557185, 25.9224
0.056696, 25.9197
0.0576735, 25.9169
0.058651, 25.914
0.0596285, 25.9111
0.0606061, 25.9082
0.0615836, 25.9052
0.0625611, 25.9022
0.0635386, 25.8991
0.0645161, 25.896
0.0654936, 25.8928
0.0664712, 25.8896
0.0674487, 25.8863
0.0684262, 25.883
0.0694037, 25.8796
0.0703812, 25.8762
0.0713587, 25.8727
0.0723363, 25.8692
0.0733138, 25.8657
0.0742913, 25.8621
0.0752688, 25.8584
0.0762463, 25.8547
0.0772239, 25.8509
0.0782014, 25.8471
0.0791789, 25.8433
0.0801564, 25.8394
0.0811339, 25.8355
0.0821114, 25.8315
0.083089, 25.8274
0.0840665, 25.8234
0.085044, 25.8192
0.0860215, 25.815
0.086999, 25.8108
0.0879765, 25.8065
0.0889541, 25.8022
0.0899316, 25.7978
0.0909091, 25.7934
0.0918866, 25.7889
0.0928641, 25.7844
0.0938416, 25.7799
0.0948192, 25.7753
0.0957967, 25.7706
0.0967742, 25.7659
0.0977517, 25.7611
0.0987292, 25.7563
0.0997067, 25.7515
0.100684, 25.7466
0.101662, 25.7416
0.102639, 25.7367
0.103617, 25.7316
0.104594, 25.7265
0.105572, 25.7214
0.106549, 25.7162
0.107527, 25.711
0.108504, 25.7057
0.109482, 25.7004
0.110459, 25.695
0.111437, 25.6896
0.112414, 25.6841
0.113392, 25.6786
0.11437, 25.673
0.115347, 25.6674
0.116325, 25.6617
0.117302, 25.656
0.11828, 25.6503
0.119257, 25.6445
0.120235, 25.6386
0.121212, 25.6327
0.12219, 25.6268
0.123167, 25.6208
0.124145, 25.6147
0.125122, 25.6086
0.1261, 25.6025
0.127077, 25.5963
0.128055, 25.5901
0.129032, 25.5838
0.13001, 25.5775
0.130987, 25.5711
0.131965, 25.5647
0.132942, 25.5582
0.13392, 25.5517
0.134897, 25.5451
0.135875, 25.5385
0.136852, 25.5318
0.13783, 25.5251
0.138807, 25.5183
0.139785, 25.5115
0.140762, 25.5047
0.14174, 25.4978
0.142717, 25.4908
0.143695, 25.4838
0.144673, 25.4768
0.14565, 25.4697
0.146628, 25.4625
0.147605, 25.4553
0.148583, 25.4481
0.14956, 25.4408
0.150538, 25.4335
0.151515, 25.4261
0.152493, 25.4187
0.15347, 25.4112
0.154448, 25.4037
0.155425, 25.3961
0.156403, 25.3885
0.15738, 25.3808
0.158358, 25.3731
0.159335, 25.3653
0.160313, 25.3575
0.16129, 25.3497
0.162268, 25.3418
0.163245, 25.3338
0.164223, 25.3258
0.1652, 25.3177
0.166178, 25.3096
0.167155, 25.3015
0.168133, 25.2933
0.16911, 25.2851
0.170088, 25.2768
0.171065, 25.2684
0.172043, 25.2601
