x,y,value
0,0,1
1,0,16641
1,1,-66306.5
2,1,16641
131,1,16512.2
1,2,16641
2,2,-66306.5
3,2,16641
132,2,16512.2
2,3,16641
3,3,-66306.5
4,3,16641
133,3,16512.2
3,4,16641
4,4,-66306.5
5,4,16641
134,4,16512.2
4,5,16641
5,5,-66306.5
6,5,16641
135,5,16512.2
5,6,16641
6,6,-66306.5
7,6,16641
136,6,16512.2
6,7,16641
7,7,-66306.5
8,7,16641
137,7,16512.2
7,8,16641
8,8,-66306.5
9,8,16641
138,8,16512.2
8,9,16641
9,9,-66306.5
10,9,16641
139,9,16512.2
9,10,16641
10,10,-66306.5
11,10,16641
140,10,16512.2
10,11,16641
11,11,-66306.5
12,11,16641
141,11,16512.2
11,12,16641
12,12,-66306.5
13,12,16641
142,12,16512.2
12,13,16641
13,13,-66306.5
14,13,16641
143,13,16512.2
13,14,16641
14,14,-66306.5
15,14,16641
144,14,16512.2
14,15,16641
15,15,-66306.5
16,15,16641
145,15,16512.2
15,16,16641
16,16,-66306.5
17,16,16641
146,16,16512.2
16,17,16641
17,17,-66306.5
18,17,16641
147,17,16512.2
17,18,16641
18,18,-66306.5
19,18,16641
148,18,16512.2
18,19,16641
19,19,-66306.5
20,19,16641
149,19,16512.2
19,20,16641
20,20,-66306.5
21,20,16641
150,20,16512.2
20,21,16641
21,21,-66306.5
22,21,16641
151,21,16512.2
21,22,16641
22,22,-66306.5
23,22,16641
152,22,16512.2
22,23,16641
23,23,-66306.5
24,23,16641
153,23,16512.2
23,24,16641
24,24,-66306.5
25,24,16641
154,24,16512.2
24,25,16641
25,25,-66306.5
26,25,16641
155,25,16512.2
25,26,16641
26,26,-66306.5
27,26,16641
156,26,16512.2
26,27,16641
27,27,-66306.5
28,27,16641
157,27,16512.2
27,28,16641
28,28,-66306.5
29,28,16641
158,28,16512.2
28,29,16641
29,29,-66306.5
30,29,16641
159,29,16512.2
29,30,16641
30,30,-66306.5
31,30,16641
160,30,16512.2
30,31,16641
31,31,-66306.5
32,31,16641
161,31,16512.2
31,32,16641
32,32,-66306.5
33,32,16641
162,32,16512.2
32,33,16641
33,33,-66306.5
34,33,16641
163,33,16512.2
33,34,16641
34,34,-66306.5
35,34,16641
164,34,16512.2
34,35,16641
35,35,-66306.5
36,35,16641
165,35,16512.2
35,36,16641
36,36,-66306.5
37,36,16641
166,36,16512.2
36,37,16641
37,37,-66306.5
38,37,16641
167,37,16512.2
37,38,16641
38,38,-66306.5
39,38,16641
168,38,16512.2
38,39,16641
39,39,-66306.5
40,39,16641
169,39,16512.2
39,40,16641
40,40,-66306.5
41,40,16641
170,40,16512.2
40,41,16641
41,41,-66306.5
42,41,16641
171,41,16512.2
41,42,16641
42,42,-66306.5
43,42,16641
172,42,16512.2
42,43,16641
43,43,-66306.5
44,43,16641
173,43,16512.2
43,44,16641
44,44,-66306.5
45,44,16641
174,44,16512.2
44,45,16641
45,45,-66306.5
46,45,16641
175,45,16512.2
45,46,16641
46,46,-66306.5
47,46,16641
176,46,16512.2
46,47,16641
47,47,-66306.5
48,47,16641
177,47,16512.2
47,48,16641
48,48,-66306.5
49,48,16641
178,48,16512.2
48,49,16641
49,49,-66306.5
50,49,16641
179,49,16512.2
49,50,16641
50,50,-66306.5
51,50,16641
180,50,16512.2
50,51,16641
51,51,-66306.5
52,51,16641
181,51,16512.2
51,52,16641
52,52,-66306.5
53,52,16641
182,52,16512.2
52,53,16641
53,53,-66306.5
54,53,16641
183,53,16512.2
53,54,16641
54,54,-66306.5
55,54,16641
184,54,16512.2
54,55,16641
55,55,-66306.5
56,55,16641
185,55,16512.2
55,56,16641
56,56,-66306.5
57,56,16641
186,56,16512.2
56,57,16641
57,57,-66306.5
58,57,16641
187,57,16512.2
57,58,16641
58,58,-66306.5
59,58,16641
188,58,16512.2
58,59,16641
59,59,-66306.5
60,59,16641
189,59,16512.2
59,60,16641
60,60,-66306.5
61,60,16641
190,60,16512.2
60,61,16641
61,61,-66306.5
62,61,16641
191,61,16512.2
61,62,16641
62,62,-66306.5
63,62,16641
192,62,16512.2
62,63,16641
63,63,-66306.5
64,63,16641
193,63,16512.2
63,64,16641
64,64,-66306.5
65,64,16641
194,64,16512.2
64,65,16641
65,65,-66306.5
66,65,16641
195,65,16512.2
65,66,16641
66,66,-66306.5
67,66,16641
196,66,16512.2
66,67,16641
67,67,-66306.5
68,67,16641
197,67,16512.2
67,68,16641
68,68,-66306.5
69,68,16641
198,68,16512.2
68,69,16641
69,69,-66306.5
70,69,16641
199,69,16512.2
69,70,16641
70,70,-66306.5
71,70,16641
200,70,16512.2
70,71,16641
71,71,-66306.5
72,71,16641
201,71,16512.2
71,72,16641
72,72,-66306.5
73,72,16641
202,72,16512.2
